train start... 
episode: 450, step: 137, reward: 386.3, done: True
episode: 451, step: 156, reward: 209.6, done: True
episode: 452, step: 100, reward: 277.2, done: True
episode: 453, step: 136, reward: 381.4, done: True
episode: 454, step: 154, reward: 425.9, done: True
episode: 455, step: 111, reward: 298.8, done: True
episode: 456, step: 108, reward: 301.2, done: True
episode: 457, step: 143, reward: 212.4, done: True
episode: 458, step: 144, reward: 407.3, done: True
episode: 459, step: 136, reward: 375.7, done: True
episode: 460, step: 110, reward: 305.3, done: True
episode: 461, step: 153, reward: 424.8, done: True
episode: 462, step: 12, reward: 36.025, done: True
episode: 463, step: 1, reward: 3.0, done: True
episode: 464, step: 152, reward: 425.575, done: True
episode: 465, step: 130, reward: 365.3, done: True
episode: 466, step: 142, reward: 399.4, done: True
episode: 467, step: 260, reward: 728.7, done: True
episode: 468, step: 144, reward: 407.3, done: True
episode: 469, step: 253, reward: 702.0, done: True
episode: 470, step: 144, reward: 403.5, done: True
episode: 471, step: 113, reward: 306.7, done: True
episode: 472, step: 150, reward: 425.3, done: True
episode: 473, step: 161, reward: 448.8, done: True
episode: 474, step: 118, reward: 331.2, done: True
episode: 475, step: 140, reward: 389.6, done: True
episode: 476, step: 154, reward: 439.2, done: True
episode: 477, step: 252, reward: 704.7, done: True
episode: 478, step: 108, reward: 299.3, done: True
episode: 479, step: 257, reward: 725.4, done: True
episode: 480, step: 3, reward: 9.025, done: True
episode: 481, step: 1, reward: 3.0, done: True
episode: 482, step: 152, reward: 431.275, done: True
episode: 483, step: 141, reward: 398.3, done: True
episode: 484, step: 111, reward: 306.4, done: True
episode: 485, step: 266, reward: 750.5, done: True
episode: 486, step: 134, reward: 379.2, done: True
episode: 487, step: 151, reward: 428.3, done: True
episode: 488, step: 124, reward: 339.7, done: True
episode: 489, step: 140, reward: 395.3, done: True
episode: 490, step: 151, reward: 428.3, done: True
episode: 491, step: 142, reward: 397.5, done: True
episode: 492, step: 140, reward: 389.6, done: True
episode: 493, step: 145, reward: 402.7, done: True
episode: 494, step: 134, reward: 381.1, done: True
episode: 495, step: 147, reward: 401.1, done: True
episode: 496, step: 120, reward: 335.3, done: True
episode: 497, step: 138, reward: 387.4, done: True
